"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Sigma[8,4]",-44.6381775515312,7.20788528827052,-60.3102055761609,-49.1044980260701,-43.9732834128371,-39.483273024731,-32.377807812749,1.00169482454592,1500
"Sigma[9,4]",-19.2277974379295,6.15966728827815,-31.7846558463112,-23.2111272095303,-18.9928006421447,-15.0324655065268,-7.47201978982386,1.00187930259933,1300
"Sigma[10,4]",-6.51410642531665,4.52767743843021,-15.7527489190598,-9.33559173177675,-6.4802036010149,-3.57167218078721,2.19468079742572,1.00306374316301,730
"Sigma[1,5]",-8.89249120566243,1.61283011870082,-12.1828178646379,-9.9199313417794,-8.7938021273955,-7.75514633687119,-6.03545059098446,1.0310130339795,72
"Sigma[2,5]",3.44231457346598,1.3489047690346,0.880017170682143,2.51374387103041,3.41329967521201,4.29554791077526,6.17424708104414,1.02464018463039,85
"Sigma[3,5]",-3.15795470414185,1.30149929235447,-5.79357820484492,-4.00225564852682,-3.13068808446738,-2.27489624839818,-0.714825147676562,1.02996302987635,72
"Sigma[4,5]",151.161119591328,23.9240208859709,108.832118907607,134.905406608265,149.452482266501,165.012382508582,202.120148541357,1.00210403172581,1100
"Sigma[5,5]",55.9098164481917,5.69566201779699,45.8048829296256,51.8184011654595,55.6581372846689,59.5204641834562,67.9318369654137,1.00559132323984,380
"Sigma[6,5]",1.10850921688194,0.841947082900648,-0.503244831924177,0.533002237068004,1.09763594073563,1.65899856280363,2.79347047442639,1.00596616092167,360
"Sigma[7,5]",-0.509253740218032,0.313201028438253,-1.13137513305409,-0.706196738035859,-0.512356294398865,-0.303591921500944,0.0932792055945264,1.00191631304102,1300
"Sigma[8,5]",-13.4946955062185,1.53317373287269,-16.8319430021227,-14.456966668482,-13.4045636674129,-12.4362073921694,-10.7619638079503,1.00268282585891,850
