"","Percent_025","Percent_975","Time","Approach","Type","value"
"325",1.81512539459619,2.17304295450012,52,"Naive up to 3 lags","Predictions",1.99225507175488
"326",1.81512539459619,2.17304295450012,52,"Naive up to 3 lags","Observed",0
"327",3.47800479542424,4.07808378378849,53,"Naive up to 3 lags","Predictions",3.79332719406449
"328",3.47800479542424,4.07808378378849,53,"Naive up to 3 lags","Observed",1
"329",3.31111300119573,3.89313177515398,54,"Naive up to 3 lags","Predictions",3.51731541507228
"330",3.31111300119573,3.89313177515398,54,"Naive up to 3 lags","Observed",2
"331",1.71734946142653,2.30700202058477,55,"Naive up to 3 lags","Predictions",1.9818714004711
"332",1.71734946142653,2.30700202058477,55,"Naive up to 3 lags","Observed",0
"333",2.05280962212087,2.32669817257643,56,"Naive up to 3 lags","Predictions",2.1991990666082
"334",2.05280962212087,2.32669817257643,56,"Naive up to 3 lags","Observed",5
"335",2.43613647911655,2.88240957664172,57,"Naive up to 3 lags","Predictions",2.65429009526554
"336",2.43613647911655,2.88240957664172,57,"Naive up to 3 lags","Observed",0
"337",4.95917526380913,5.78029814517263,58,"Naive up to 3 lags","Predictions",5.40170913252427
"338",4.95917526380913,5.78029814517263,58,"Naive up to 3 lags","Observed",0
"339",3.31344430494106,3.99391851365618,59,"Naive up to 3 lags","Predictions",3.64076816799257
"340",3.31344430494106,3.99391851365618,59,"Naive up to 3 lags","Observed",0
"341",3.01607792385814,3.51136276519968,60,"Naive up to 3 lags","Predictions",3.1737891797815
"342",3.01607792385814,3.51136276519968,60,"Naive up to 3 lags","Observed",5
"343",3.13607109647735,3.68369058007266,61,"Naive up to 3 lags","Predictions",3.46723109578325
"344",3.13607109647735,3.68369058007266,61,"Naive up to 3 lags","Observed",19
"345",26.8594374787453,30.5394357092065,62,"Naive up to 3 lags","Predictions",28.6067978474085
"346",26.8594374787453,30.5394357092065,62,"Naive up to 3 lags","Observed",12
"347",24.7060975,27.3291560714286,63,"Naive up to 3 lags","Predictions",25.8340501082251
"348",24.7060975,27.3291560714286,63,"Naive up to 3 lags","Observed",4
"349",6.82277134844322,8.85839510851893,64,"Naive up to 3 lags","Predictions",7.96947391774891
"350",6.82277134844322,8.85839510851893,64,"Naive up to 3 lags","Observed",5
"351",5.10559573298434,6.37549436202686,65,"Naive up to 3 lags","Predictions",5.76215891445156
